highrisk,,MR,,LR,
X,Y,X,Y,X,Y
0,3.6637931034482776,0,4.956896551724139,0,6.465517241379313
0.5,5.675287356321839,0.5,7.471264367816094,0.5,8.979885057471265
1,7.614942528735632,1,9.554597701149426,1,11.494252873563218
1.5,9.339080459770116,1.5,11.494252873563218,1.5,13.505747126436782
2,11.135057471264368,2,13.002873563218392,2,15.373563218390805
2.5,12.356321839080461,2.5,14.511494252873563,2.5,16.451149425287355
3,13.505747126436782,3,15.445402298850574,3,17.67241379310345
3.5,14.008620689655173,3.5,16.379310344827587,3.5,18.75
4,14.439655172413794,4,17.2413793103448264,4,19.899425287356323
4.5,14.942528735632184,4.5,17.95977011494253,4.5,20.54597701149425
5,15.086206896551724,5,18.0316091954023,5,21.048850574712645
5.5,15.086206896551724,5.5,18.10344827586207,5.5,21.120689655172413
6,15.086206896551724,6,18.10344827586207,6,21.120689655172413
6.5,15.086206896551724,6.5,18.10344827586207,6.5,21.048850574712645
7,15.086206896551724,7,18.10344827586207,7,21.048850574712645
