0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
0 NA 5.4 5.6 5.8 6.0 6.2 6.3 6.5 6.7 6.9 7.1 7.3 7.4 7.6 7.8 8.0 8.1 8.3 8.5 8.6 8.8 9.0 9.1 9.3
1 9.4 9.6 9.8 9.9 10.1 10.2 10.4 10.5 10.7 10.8 11.0 11.1 11.2 11.4 11.5 11.7 11.8 11.9 12.1 12.2 12.3 12.5 12.6 12.7
2 12.8 13.0 13.1 13.2 13.3 13.4 13.5 13.7 13.8 13.9 14.0 14.1 14.2 14.3 14.4 14.5 14.6 14.7 14.8 14.9 15.0 15.1 15.2 15.3
3 15.4 15.4 15.5 15.6 15.7 15.8 15.8 15.9 16.0 16.1 16.1 16.2 16.3 16.4 16.4 16.5 16.6 16.6 16.7 16.7 16.8 16.8 16.9 17.0
4 17.0 17.0 17.0 17.0 17.0 17.0 17.0 17.0 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1 17.1
5 17.1 17.1 17.1 17.1 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.2 17.3
6 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.3 17.4 17.4 17.4 17.4 17.4
7 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.4 17.5 17.5 17.5 17.5 17.5 17.5 17.5 17.5 17.5 17.5
8 17.5 17.5 17.5 17.5 17.5 17.5 17.5 17.5 17.5 17.5 17.6 17.6 17.6 17.6 17.6 17.6 17.6 17.6 17.6 17.6 17.6 17.6 17.6 17.6
9 17.6 17.6 17.6 17.6 17.6 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7 17.7
10 17.7 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.8 17.9 17.9 17.9 17.9
11 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 17.9 18.0 18.0 18.0 18.0 18.0 18.0 18.0 18.0
12 18.0 18.0 18.0 18.0 18.0 18.0 18.0 18.0 18.0 18.0 18.0 18.1 18.1 18.1 18.1 18.1 18.1 18.1 18.1 18.1 18.1 18.1 18.1 18.1
13 18.1 18.1 18.1 18.1 18.1 18.1 18.1 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2
14 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2 18.2
