0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
0 NA 7.9 8.1 8.3 8.5 8.7 8.9 9.1 9.3 9.5 9.7 9.9 10.1 10.3 10.5 10.7 10.8 11.0 11.2 11.4 11.6 11.7 11.9 12.1
1 12.3 12.4 12.6 12.8 12.9 13.1 13.3 13.4 13.6 13.8 13.9 14.1 14.2 14.4 14.5 14.7 14.8 15.0 15.1 15.3 15.4 15.6 15.7 15.8
2 16.0 16.1 16.2 16.4 16.5 16.6 16.8 16.9 17.0 17.1 17.3 17.4 17.5 17.6 17.7 17.8 17.9 18.1 18.2 18.3 18.4 18.5 18.6 18.7
3 18.8 18.9 19.0 19.1 19.2 19.3 19.4 19.5 19.5 19.6 19.7 19.8 19.9 20.0 20.0 20.1 20.2 20.3 20.3 20.4 20.5 20.6 20.6 20.7
4 20.7 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.8 20.9 20.9 20.9 20.9 20.9
5 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 20.9 21.0 21.0 21.0 21.0 21.0 21.0
6 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.1 21.1 21.1 21.1 21.1 21.1
7 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.1 21.2 21.2 21.2 21.2 21.2 21.2 21.2
8 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.2 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3
9 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.3 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4
10 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.4 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5
11 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.5 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6
12 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.6 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7
13 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.7 21.8a 21.8 21.8 21.8 21.8 21.8 21.8 21.8 21.8 21.8 21.8
