annotation	bilirubin	time
35w_norisk	19.6	360
36w_norisk	20.4	360
37w_norisk	21.1	360
38w_norisk	21.8	360
39w_norisk	21.8	360
40w_norisk	21.8	360
NA	NA	NA
NA	NA	NA
35w_norisk	NA	0
35w_norisk	10.6	24
35w_norisk	14.2	48
35w_norisk	16.8	72
35w_norisk	18.6	96
35w_norisk	18.7	120
35w_norisk	18.8	144
35w_norisk	18.9	168
35w_norisk	19	192
35w_norisk	19.1	216
35w_norisk	19.2	240
35w_norisk	19.3	264
35w_norisk	19.4	288
35w_norisk	19.5	312
35w_norisk	19.6	336
35w_norisk	6.4	1
35w_norisk	10.8	25
35w_norisk	14.3	49
35w_norisk	16.9	73
35w_norisk	18.6	97
35w_norisk	18.7	121
35w_norisk	18.8	145
35w_norisk	18.9	169
35w_norisk	19	193
35w_norisk	19.1	217
35w_norisk	19.2	241
35w_norisk	19.3	265
35w_norisk	19.4	289
35w_norisk	19.5	313
35w_norisk	19.6	337
35w_norisk	6.6	2
35w_norisk	10.9	26
35w_norisk	14.4	50
35w_norisk	17	74
35w_norisk	18.6	98
35w_norisk	18.7	122
35w_norisk	18.8	146
35w_norisk	18.9	170
35w_norisk	19	194
35w_norisk	19.1	218
35w_norisk	19.2	242
35w_norisk	19.3	266
35w_norisk	19.4	290
35w_norisk	19.5	314
35w_norisk	19.6	338
35w_norisk	6.8	3
35w_norisk	11.1	27
35w_norisk	14.5	51
35w_norisk	17.1	75
35w_norisk	18.6	99
35w_norisk	18.7	123
35w_norisk	18.8	147
35w_norisk	18.9	171
35w_norisk	19	195
35w_norisk	19.1	219
35w_norisk	19.2	243
35w_norisk	19.3	267
35w_norisk	19.4	291
35w_norisk	19.5	315
35w_norisk	19.6	339
35w_norisk	7	4
35w_norisk	11.3	28
35w_norisk	14.7	52
35w_norisk	17.2	76
35w_norisk	18.6	100
35w_norisk	18.7	124
35w_norisk	18.8	148
35w_norisk	18.9	172
35w_norisk	19	196
35w_norisk	19.1	220
35w_norisk	19.2	244
35w_norisk	19.3	268
35w_norisk	19.5	292
35w_norisk	19.6	316
35w_norisk	19.6	340
35w_norisk	7.2	5
35w_norisk	11.4	29
35w_norisk	14.8	53
35w_norisk	17.3	77
35w_norisk	18.6	101
35w_norisk	18.7	125
35w_norisk	18.8	149
35w_norisk	18.9	173
35w_norisk	19	197
35w_norisk	19.1	221
35w_norisk	19.3	245
35w_norisk	19.4	269
35w_norisk	19.5	293
35w_norisk	19.6	317
35w_norisk	19.6	341
35w_norisk	7.4	6
35w_norisk	11.6	30
35w_norisk	14.9	54
35w_norisk	17.4	78
35w_norisk	18.6	102
35w_norisk	18.7	126
35w_norisk	18.8	150
35w_norisk	18.9	174
35w_norisk	19	198
35w_norisk	19.2	222
35w_norisk	19.3	246
35w_norisk	19.4	270
35w_norisk	19.5	294
35w_norisk	19.6	318
35w_norisk	19.6	342
35w_norisk	7.6	7
35w_norisk	11.7	31
35w_norisk	15	55
35w_norisk	17.5	79
35w_norisk	18.6	103
35w_norisk	18.7	127
35w_norisk	18.8	151
35w_norisk	19	175
35w_norisk	19.1	199
35w_norisk	19.2	223
35w_norisk	19.3	247
35w_norisk	19.4	271
35w_norisk	19.5	295
35w_norisk	19.6	319
35w_norisk	19.6	343
35w_norisk	7.8	8
35w_norisk	11.9	32
35w_norisk	15.1	56
35w_norisk	17.5	80
35w_norisk	18.6	104
35w_norisk	18.7	128
35w_norisk	18.9	152
35w_norisk	19	176
35w_norisk	19.1	200
35w_norisk	19.2	224
35w_norisk	19.3	248
35w_norisk	19.4	272
35w_norisk	19.5	296
35w_norisk	19.6	320
35w_norisk	19.6	344
35w_norisk	7.9	9
35w_norisk	12	33
35w_norisk	15.3	57
35w_norisk	17.6	81
35w_norisk	18.6	105
35w_norisk	18.8	129
35w_norisk	18.9	153
35w_norisk	19	177
35w_norisk	19.1	201
35w_norisk	19.2	225
35w_norisk	19.3	249
35w_norisk	19.4	273
35w_norisk	19.5	297
35w_norisk	19.6	321
35w_norisk	19.6	345
35w_norisk	8.1	10
35w_norisk	12.2	34
35w_norisk	15.4	58
35w_norisk	17.7	82
35w_norisk	18.7	106
35w_norisk	18.8	130
35w_norisk	18.9	154
35w_norisk	19	178
35w_norisk	19.1	202
35w_norisk	19.2	226
35w_norisk	19.3	250
35w_norisk	19.4	274
35w_norisk	19.5	298
35w_norisk	19.6	322
35w_norisk	19.6	346
35w_norisk	8.3	11
35w_norisk	12.3	35
35w_norisk	15.5	59
35w_norisk	17.8	83
35w_norisk	18.7	107
35w_norisk	18.8	131
35w_norisk	18.9	155
35w_norisk	19	179
35w_norisk	19.1	203
35w_norisk	19.2	227
35w_norisk	19.3	251
35w_norisk	19.4	275
35w_norisk	19.5	299
35w_norisk	19.6	323
35w_norisk	19.6	347
35w_norisk	8.5	12
35w_norisk	12.5	36
35w_norisk	15.6	60
35w_norisk	17.8	84
35w_norisk	18.7	108
35w_norisk	18.8	132
35w_norisk	18.9	156
35w_norisk	19	180
35w_norisk	19.1	204
35w_norisk	19.2	228
35w_norisk	19.3	252
35w_norisk	19.4	276
35w_norisk	19.5	300
35w_norisk	19.6	324
35w_norisk	19.6	348
35w_norisk	8.7	13
35w_norisk	12.6	37
35w_norisk	15.7	61
35w_norisk	17.9	85
35w_norisk	18.7	109
35w_norisk	18.8	133
35w_norisk	18.9	157
35w_norisk	19	181
35w_norisk	19.1	205
35w_norisk	19.2	229
35w_norisk	19.3	253
35w_norisk	19.4	277
35w_norisk	19.5	301
35w_norisk	19.6	325
35w_norisk	19.6	349
35w_norisk	8.9	14
35w_norisk	12.8	38
35w_norisk	15.8	62
35w_norisk	18	86
35w_norisk	18.7	110
35w_norisk	18.8	134
35w_norisk	18.9	158
35w_norisk	19	182
35w_norisk	19.1	206
35w_norisk	19.2	230
35w_norisk	19.3	254
35w_norisk	19.4	278
35w_norisk	19.5	302
35w_norisk	19.6	326
35w_norisk	19.6	350
35w_norisk	9	15
35w_norisk	12.9	39
35w_norisk	15.9	63
35w_norisk	18.1	87
35w_norisk	18.7	111
35w_norisk	18.8	135
35w_norisk	18.9	159
35w_norisk	19	183
35w_norisk	19.1	207
35w_norisk	19.2	231
35w_norisk	19.3	255
35w_norisk	19.4	279
35w_norisk	19.5	303
35w_norisk	19.6	327
35w_norisk	19.6	351
35w_norisk	9.2	16
35w_norisk	13.1	40
35w_norisk	16	64
35w_norisk	18.1	88
35w_norisk	18.7	112
35w_norisk	18.8	136
35w_norisk	18.9	160
35w_norisk	19	184
35w_norisk	19.1	208
35w_norisk	19.2	232
35w_norisk	19.3	256
35w_norisk	19.4	280
35w_norisk	19.5	304
35w_norisk	19.6	328
35w_norisk	19.6	352
35w_norisk	9.4	17
35w_norisk	13.2	41
35w_norisk	16.1	65
35w_norisk	18.2	89
35w_norisk	18.7	113
35w_norisk	18.8	137
35w_norisk	18.9	161
35w_norisk	19	185
35w_norisk	19.1	209
35w_norisk	19.2	233
35w_norisk	19.3	257
35w_norisk	19.4	281
35w_norisk	19.5	305
35w_norisk	19.6	329
35w_norisk	19.6	353
35w_norisk	9.6	18
35w_norisk	13.4	42
35w_norisk	16.2	66
35w_norisk	18.3	90
35w_norisk	18.7	114
35w_norisk	18.8	138
35w_norisk	18.9	162
35w_norisk	19	186
35w_norisk	19.1	210
35w_norisk	19.2	234
35w_norisk	19.3	258
35w_norisk	19.4	282
35w_norisk	19.5	306
35w_norisk	19.6	330
35w_norisk	19.6	354
35w_norisk	9.8	19
35w_norisk	13.5	43
35w_norisk	16.3	67
35w_norisk	18.3	91
35w_norisk	18.7	115
35w_norisk	18.8	139
35w_norisk	18.9	163
35w_norisk	19	187
35w_norisk	19.1	211
35w_norisk	19.2	235
35w_norisk	19.3	259
35w_norisk	19.4	283
35w_norisk	19.5	307
35w_norisk	19.6	331
35w_norisk	19.6	355
35w_norisk	9.9	20
35w_norisk	13.6	44
35w_norisk	16.4	68
35w_norisk	18.4	92
35w_norisk	18.7	116
35w_norisk	18.8	140
35w_norisk	18.9	164
35w_norisk	19	188
35w_norisk	19.1	212
35w_norisk	19.2	236
35w_norisk	19.3	260
35w_norisk	19.4	284
35w_norisk	19.5	308
35w_norisk	19.6	332
35w_norisk	19.6	356
35w_norisk	10.1	21
35w_norisk	13.8	45
35w_norisk	16.5	69
35w_norisk	18.5	93
35w_norisk	18.7	117
35w_norisk	18.8	141
35w_norisk	18.9	165
35w_norisk	19	189
35w_norisk	19.1	213
35w_norisk	19.2	237
35w_norisk	19.3	261
35w_norisk	19.4	285
35w_norisk	19.5	309
35w_norisk	19.6	333
35w_norisk	19.6	357
35w_norisk	10.3	22
35w_norisk	13.9	46
35w_norisk	16.6	70
35w_norisk	18.5	94
35w_norisk	18.7	118
35w_norisk	18.8	142
35w_norisk	18.9	166
35w_norisk	19	190
35w_norisk	19.1	214
35w_norisk	19.2	238
35w_norisk	19.3	262
35w_norisk	19.4	286
35w_norisk	19.5	310
35w_norisk	19.6	334
35w_norisk	19.6	358
35w_norisk	10.4	23
35w_norisk	14	47
35w_norisk	16.7	71
35w_norisk	18.6	95
35w_norisk	18.7	119
35w_norisk	18.8	143
35w_norisk	18.9	167
35w_norisk	19	191
35w_norisk	19.1	215
35w_norisk	19.2	239
35w_norisk	19.3	263
35w_norisk	19.4	287
35w_norisk	19.5	311
35w_norisk	19.6	335
35w_norisk	19.6	359
NA	NA	NA
36w_norisk	NA	0
36w_norisk	11.2	24
36w_norisk	14.8	48
36w_norisk	17.5	72
36w_norisk	19.3	96
36w_norisk	19.4	120
36w_norisk	19.5	144
36w_norisk	19.6	168
36w_norisk	19.7	192
36w_norisk	19.8	216
36w_norisk	19.9	240
36w_norisk	20.1	264
36w_norisk	20.2	288
36w_norisk	20.3	312
36w_norisk	20.4	336
36w_norisk	6.9	1
36w_norisk	11.3	25
36w_norisk	14.9	49
36w_norisk	17.6	73
36w_norisk	19.3	97
36w_norisk	19.4	121
36w_norisk	19.5	145
36w_norisk	19.6	169
36w_norisk	19.7	193
36w_norisk	19.9	217
36w_norisk	20	241
36w_norisk	20.1	265
36w_norisk	20.2	289
36w_norisk	20.3	313
36w_norisk	20.4	337
36w_norisk	7.1	2
36w_norisk	11.5	26
36w_norisk	15	50
36w_norisk	17.7	74
36w_norisk	19.3	98
36w_norisk	19.4	122
36w_norisk	19.5	146
36w_norisk	19.6	170
36w_norisk	19.8	194
36w_norisk	19.9	218
36w_norisk	20	242
36w_norisk	20.1	266
36w_norisk	20.2	290
36w_norisk	20.3	314
36w_norisk	20.4	338
36w_norisk	7.3	3
36w_norisk	11.7	27
36w_norisk	15.1	51
36w_norisk	17.8	75
36w_norisk	19.3	99
36w_norisk	19.4	123
36w_norisk	19.6	147
36w_norisk	19.7	171
36w_norisk	19.8	195
36w_norisk	19.9	219
36w_norisk	20	243
36w_norisk	20.1	267
36w_norisk	20.2	291
36w_norisk	20.3	315
36w_norisk	20.4	339
36w_norisk	7.5	4
36w_norisk	11.8	28
36w_norisk	15.3	52
36w_norisk	17.9	76
36w_norisk	19.3	100
36w_norisk	19.5	124
36w_norisk	19.6	148
36w_norisk	19.7	172
36w_norisk	19.8	196
36w_norisk	19.9	220
36w_norisk	20	244
36w_norisk	20.1	268
36w_norisk	20.2	292
36w_norisk	20.3	316
36w_norisk	20.4	340
36w_norisk	7.7	5
36w_norisk	12	29
36w_norisk	15.4	53
36w_norisk	17.9	77
36w_norisk	19.4	101
36w_norisk	19.5	125
36w_norisk	19.6	149
36w_norisk	19.7	173
36w_norisk	19.8	197
36w_norisk	19.9	221
36w_norisk	20	245
36w_norisk	20.1	269
36w_norisk	20.2	293
36w_norisk	20.3	317
36w_norisk	20.4	341
36w_norisk	7.9	6
36w_norisk	12.1	30
36w_norisk	15.5	54
36w_norisk	18	78
36w_norisk	19.4	102
36w_norisk	19.5	126
36w_norisk	19.6	150
36w_norisk	19.7	174
36w_norisk	19.8	198
36w_norisk	19.9	222
36w_norisk	20	246
36w_norisk	20.1	270
36w_norisk	20.2	294
36w_norisk	20.3	318
36w_norisk	20.4	342
36w_norisk	8.1	7
36w_norisk	12.3	31
36w_norisk	15.6	55
36w_norisk	18.1	79
36w_norisk	19.4	103
36w_norisk	19.5	127
36w_norisk	19.6	151
36w_norisk	19.7	175
36w_norisk	19.8	199
36w_norisk	19.9	223
36w_norisk	20	247
36w_norisk	20.1	271
36w_norisk	20.2	295
36w_norisk	20.3	319
36w_norisk	20.4	343
36w_norisk	8.3	8
36w_norisk	12.5	32
36w_norisk	15.8	56
36w_norisk	18.2	80
36w_norisk	19.4	104
36w_norisk	19.5	128
36w_norisk	19.6	152
36w_norisk	19.7	176
36w_norisk	19.8	200
36w_norisk	19.9	224
36w_norisk	20	248
36w_norisk	20.1	272
36w_norisk	20.2	296
36w_norisk	20.3	320
36w_norisk	20.4	344
36w_norisk	8.5	9
36w_norisk	12.6	33
36w_norisk	15.9	57
36w_norisk	18.3	81
36w_norisk	19.4	105
36w_norisk	19.5	129
36w_norisk	19.6	153
36w_norisk	19.7	177
36w_norisk	19.8	201
36w_norisk	19.9	225
36w_norisk	20	249
36w_norisk	20.1	273
36w_norisk	20.2	297
36w_norisk	20.3	321
36w_norisk	20.4	345
36w_norisk	8.7	10
36w_norisk	12.8	34
36w_norisk	16	58
36w_norisk	18.4	82
36w_norisk	19.4	106
36w_norisk	19.5	130
36w_norisk	19.6	154
36w_norisk	19.7	178
36w_norisk	19.8	202
36w_norisk	19.9	226
36w_norisk	20	250
36w_norisk	20.1	274
36w_norisk	20.2	298
36w_norisk	20.3	322
36w_norisk	20.4	346
36w_norisk	8.8	11
36w_norisk	12.9	35
36w_norisk	16.1	59
36w_norisk	18.4	83
36w_norisk	19.4	107
36w_norisk	19.5	131
36w_norisk	19.6	155
36w_norisk	19.7	179
36w_norisk	19.8	203
36w_norisk	19.9	227
36w_norisk	20	251
36w_norisk	20.1	275
36w_norisk	20.2	299
36w_norisk	20.3	323
36w_norisk	20.4	347
36w_norisk	9	12
36w_norisk	13.1	36
36w_norisk	16.2	60
36w_norisk	18.5	84
36w_norisk	19.4	108
36w_norisk	19.5	132
36w_norisk	19.6	156
36w_norisk	19.7	180
36w_norisk	19.8	204
36w_norisk	19.9	228
36w_norisk	20	252
36w_norisk	20.1	276
36w_norisk	20.2	300
36w_norisk	20.3	324
36w_norisk	20.4	348
36w_norisk	9.2	13
36w_norisk	13.2	37
36w_norisk	16.3	61
36w_norisk	18.6	85
36w_norisk	19.4	109
36w_norisk	19.5	133
36w_norisk	19.6	157
36w_norisk	19.7	181
36w_norisk	19.8	205
36w_norisk	19.9	229
36w_norisk	20	253
36w_norisk	20.1	277
36w_norisk	20.2	301
36w_norisk	20.3	325
36w_norisk	20.4	349
36w_norisk	9.4	14
36w_norisk	13.4	38
36w_norisk	16.5	62
36w_norisk	18.7	86
36w_norisk	19.4	110
36w_norisk	19.5	134
36w_norisk	19.6	158
36w_norisk	19.7	182
36w_norisk	19.8	206
36w_norisk	19.9	230
36w_norisk	20	254
36w_norisk	20.1	278
36w_norisk	20.2	302
36w_norisk	20.3	326
36w_norisk	20.4	350
36w_norisk	9.6	15
36w_norisk	13.5	39
36w_norisk	16.6	63
36w_norisk	18.8	87
36w_norisk	19.4	111
36w_norisk	19.5	135
36w_norisk	19.6	159
36w_norisk	19.7	183
36w_norisk	19.8	207
36w_norisk	19.9	231
36w_norisk	20	255
36w_norisk	20.1	279
36w_norisk	20.2	303
36w_norisk	20.3	327
36w_norisk	20.4	351
36w_norisk	9.8	16
36w_norisk	13.7	40
36w_norisk	16.7	64
36w_norisk	18.8	88
36w_norisk	19.4	112
36w_norisk	19.5	136
36w_norisk	19.6	160
36w_norisk	19.7	184
36w_norisk	19.8	208
36w_norisk	19.9	232
36w_norisk	20	256
36w_norisk	20.1	280
36w_norisk	20.2	304
36w_norisk	20.3	328
36w_norisk	20.4	352
36w_norisk	9.9	17
36w_norisk	13.8	41
36w_norisk	16.8	65
36w_norisk	18.9	89
36w_norisk	19.4	113
36w_norisk	19.5	137
36w_norisk	19.6	161
36w_norisk	19.7	185
36w_norisk	19.8	209
36w_norisk	19.9	233
36w_norisk	20	257
36w_norisk	20.1	281
36w_norisk	20.2	305
36w_norisk	20.3	329
36w_norisk	20.4	353
36w_norisk	10.1	18
36w_norisk	13.9	42
36w_norisk	16.9	66
36w_norisk	19	90
36w_norisk	19.4	114
36w_norisk	19.5	138
36w_norisk	19.6	162
36w_norisk	19.7	186
36w_norisk	19.8	210
36w_norisk	19.9	234
36w_norisk	20	258
36w_norisk	20.1	282
36w_norisk	20.2	306
36w_norisk	20.3	330
36w_norisk	20.4	354
36w_norisk	10.3	19
36w_norisk	14.1	43
36w_norisk	17	67
36w_norisk	19	91
36w_norisk	19.4	115
36w_norisk	19.5	139
36w_norisk	19.6	163
36w_norisk	19.7	187
36w_norisk	19.8	211
36w_norisk	19.9	235
36w_norisk	20	259
36w_norisk	20.1	283
36w_norisk	20.2	307
36w_norisk	20.3	331
36w_norisk	20.4	355
36w_norisk	10.5	20
36w_norisk	14.2	44
36w_norisk	17.1	68
36w_norisk	19.1	92
36w_norisk	19.4	116
36w_norisk	19.5	140
36w_norisk	19.6	164
36w_norisk	19.7	188
36w_norisk	19.8	212
36w_norisk	19.9	236
36w_norisk	20	260
36w_norisk	20.1	284
36w_norisk	20.2	308
36w_norisk	20.3	332
36w_norisk	20.4	356
36w_norisk	10.6	21
36w_norisk	14.4	45
36w_norisk	17.2	69
36w_norisk	19.2	93
36w_norisk	19.4	117
36w_norisk	19.5	141
36w_norisk	19.6	165
36w_norisk	19.7	189
36w_norisk	19.8	213
36w_norisk	19.9	237
36w_norisk	20	261
36w_norisk	20.1	285
36w_norisk	20.2	309
36w_norisk	20.3	333
36w_norisk	20.4	357
36w_norisk	10.8	22
36w_norisk	14.5	46
36w_norisk	17.3	70
36w_norisk	19.2	94
36w_norisk	19.4	118
36w_norisk	19.5	142
36w_norisk	19.6	166
36w_norisk	19.7	190
36w_norisk	19.8	214
36w_norisk	19.9	238
36w_norisk	20	262
36w_norisk	20.1	286
36w_norisk	20.2	310
36w_norisk	20.4	334
36w_norisk	20.4	358
36w_norisk	11	23
36w_norisk	14.6	47
36w_norisk	17.4	71
36w_norisk	19.3	95
36w_norisk	19.4	119
36w_norisk	19.5	143
36w_norisk	19.6	167
36w_norisk	19.7	191
36w_norisk	19.8	215
36w_norisk	19.9	239
36w_norisk	20	263
36w_norisk	20.1	287
36w_norisk	20.2	311
36w_norisk	20.4	335
36w_norisk	20.4	359
NA	NA	NA
37w_norisk	NA	0
37w_norisk	11.7	24
37w_norisk	15.4	48
37w_norisk	18.1	72
37w_norisk	20	96
37w_norisk	20.2	120
37w_norisk	20.3	144
37w_norisk	20.4	168
37w_norisk	20.5	192
37w_norisk	20.6	216
37w_norisk	20.7	240
37w_norisk	20.8	264
37w_norisk	20.9	288
37w_norisk	21	312
37w_norisk	21.1	336
37w_norisk	7.4	1
37w_norisk	11.9	25
37w_norisk	15.5	49
37w_norisk	18.2	73
37w_norisk	20.1	97
37w_norisk	20.2	121
37w_norisk	20.3	145
37w_norisk	20.4	169
37w_norisk	20.5	193
37w_norisk	20.6	217
37w_norisk	20.7	241
37w_norisk	20.8	265
37w_norisk	20.9	289
37w_norisk	21	313
37w_norisk	21.1	337
37w_norisk	7.6	2
37w_norisk	12.1	26
37w_norisk	15.6	50
37w_norisk	18.3	74
37w_norisk	20.1	98
37w_norisk	20.2	122
37w_norisk	20.3	146
37w_norisk	20.4	170
37w_norisk	20.5	194
37w_norisk	20.6	218
37w_norisk	20.7	242
37w_norisk	20.8	266
37w_norisk	20.9	290
37w_norisk	21	314
37w_norisk	21.1	338
37w_norisk	7.8	3
37w_norisk	12.2	27
37w_norisk	15.8	51
37w_norisk	18.4	75
37w_norisk	20.1	99
37w_norisk	20.2	123
37w_norisk	20.3	147
37w_norisk	20.4	171
37w_norisk	20.5	195
37w_norisk	20.6	219
37w_norisk	20.7	243
37w_norisk	20.8	267
37w_norisk	20.9	291
37w_norisk	21	315
37w_norisk	21.1	339
37w_norisk	8	4
37w_norisk	12.4	28
37w_norisk	15.9	52
37w_norisk	18.5	76
37w_norisk	20.1	100
37w_norisk	20.2	124
37w_norisk	20.3	148
37w_norisk	20.4	172
37w_norisk	20.5	196
37w_norisk	20.6	220
37w_norisk	20.7	244
37w_norisk	20.8	268
37w_norisk	20.9	292
37w_norisk	21	316
37w_norisk	21.1	340
37w_norisk	8.2	5
