annotation	bilirubin	time
35w_risk	17.4	360
36w_risk	18.2	360
37w_risk	18.2	360
38w_risk	18.2	360
NA	NA	NA
NA	NA	NA
35w_risk	NA	0
35w_risk	8.9	24
35w_risk	12.2	48
35w_risk	14.6	72
35w_risk	16.1	96
35w_risk	16.3	120
35w_risk	16.4	144
35w_risk	16.5	168
35w_risk	16.6	192
35w_risk	16.8	216
35w_risk	16.9	240
35w_risk	17	264
35w_risk	17.1	288
35w_risk	17.3	312
35w_risk	17.4	336
35w_risk	4.9	1
35w_risk	9	25
35w_risk	12.3	49
35w_risk	14.7	73
35w_risk	16.2	97
35w_risk	16.3	121
35w_risk	16.4	145
35w_risk	16.5	169
35w_risk	16.6	193
35w_risk	16.8	217
35w_risk	16.9	241
35w_risk	17	265
35w_risk	17.1	289
35w_risk	17.3	313
35w_risk	17.4	337
35w_risk	5.1	2
35w_risk	9.2	26
35w_risk	12.4	50
35w_risk	14.8	74
35w_risk	16.2	98
35w_risk	16.3	122
35w_risk	16.4	146
35w_risk	16.5	170
35w_risk	16.7	194
35w_risk	16.8	218
35w_risk	16.9	242
35w_risk	17	266
35w_risk	17.1	290
35w_risk	17.3	314
35w_risk	17.4	338
35w_risk	5.3	3
35w_risk	9.3	27
35w_risk	12.5	51
35w_risk	14.8	75
35w_risk	16.2	99
35w_risk	16.3	123
35w_risk	16.4	147
35w_risk	16.5	171
35w_risk	16.7	195
35w_risk	16.8	219
35w_risk	16.9	243
35w_risk	17	267
35w_risk	17.1	291
35w_risk	17.3	315
35w_risk	17.4	339
35w_risk	5.5	4
35w_risk	9.5	28
35w_risk	12.6	52
35w_risk	14.9	76
35w_risk	16.2	100
35w_risk	16.3	124
35w_risk	16.4	148
35w_risk	16.5	172
35w_risk	16.7	196
35w_risk	16.8	220
35w_risk	16.9	244
35w_risk	17	268
35w_risk	17.2	292
35w_risk	17.3	316
35w_risk	17.4	340
35w_risk	5.6	5
35w_risk	9.6	29
35w_risk	12.7	53
35w_risk	15	77
35w_risk	16.2	101
35w_risk	16.3	125
35w_risk	16.4	149
35w_risk	16.5	173
35w_risk	16.7	197
35w_risk	16.8	221
35w_risk	16.9	245
35w_risk	17	269
35w_risk	17.2	293
35w_risk	17.3	317
35w_risk	17.4	341
35w_risk	5.8	6
35w_risk	9.8	30
35w_risk	12.8	54
35w_risk	15.1	78
35w_risk	16.2	102
35w_risk	16.3	126
35w_risk	16.4	150
35w_risk	16.6	174
35w_risk	16.7	198
35w_risk	16.8	222
35w_risk	16.9	246
35w_risk	17	270
35w_risk	17.2	294
35w_risk	17.3	318
35w_risk	17.4	342
35w_risk	6	7
35w_risk	9.9	31
35w_risk	13	55
35w_risk	15.1	79
35w_risk	16.2	103
35w_risk	16.3	127
35w_risk	16.4	151
35w_risk	16.6	175
35w_risk	16.7	199
35w_risk	16.8	223
35w_risk	16.9	247
35w_risk	17	271
35w_risk	17.2	295
35w_risk	17.3	319
35w_risk	17.4	343
35w_risk	6.2	8
35w_risk	10.1	32
35w_risk	13.1	56
35w_risk	15.2	80
35w_risk	16.2	104
35w_risk	16.3	128
35w_risk	16.4	152
35w_risk	16.6	176
35w_risk	16.7	200
35w_risk	16.8	224
35w_risk	16.9	248
35w_risk	17.1	272
35w_risk	17.2	296
35w_risk	17.3	320
35w_risk	17.4	344
35w_risk	6.4	9
35w_risk	10.2	33
35w_risk	13.2	57
35w_risk	15.3	81
35w_risk	16.2	105
35w_risk	16.3	129
